category_id,category_name,parent_category,url
,Colle bois et joint de finition,Panneau bois et dalle de plancher,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher/colle-bois-et-joint-de-finition
,Outillage du menuisier,Panneau bois et dalle de plancher,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher/outillage-du-menuisier
,Carreaux de plâtre,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/carreaux-de-platre
,Plâtre,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/platre
,Accessoire de cloisonnement,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/accessoire-de-cloisonnement
,Trappe de visite,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/trappe-de-visite
,Panneau d'agencement,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/panneau-d-agencement
,Brique de verre,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/brique-de-verre
,Enduit intérieur,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/enduit-interieur
,Mortier adhésif,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/mortier-adhesif
,Verre synthétique,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/verre-synthetique
,Isolation de mur et cloisons,Cloison et armature,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/cloison-et-armature/isolation-de-mur-et-cloisons
